truckId,simulationId,tiempo
2423VRT,fccbc861-3e31-4e35-b4f3-b0f97e77a2c2,"[639330.0, 1253730.0, 1158090.0, 476250.0, 779490.0]"
3321FBL,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,"[750960.0, 482520.0, 311850.0, 418680.0, 458820.0, 316350.0, 834930.0, 772020.0, 795570.0, 924090.0, 290550.0, 350550.0, 805020.0, 1569390.0, 396090.0]"
3321FBL,0479683c-5185-4c2a-bb06-2dc0e805eecb,"[428610.0, 375420.0, 173310.0, 58980.0, 737850.0, 649350.0, 210180.0, 751290.0, 393180.0, 515550.0, 748680.0]"
3321FBL,04e06e2f-d6d4-4364-aedc-d3f98fa1017a,"[3001950.0, 817080.0, 2737170.0]"
3321FBL,050963e7-113a-4f7f-a21e-a720d8034642,"[544770.0, 836550.0, 329250.0, 735720.0, 316050.0, 693420.0, 934920.0]"
3321FBL,09b973fd-ddc3-48a5-8838-6c6e02e14a7f,"[1479540.0, 647490.0, 1303890.0, 2177130.0, 1225560.0, 759390.0, 399120.0, 153810.0, 794460.0, 354150.0, 507420.0]"
3321FBL,0e431f85-a4c6-4109-ad1b-98f58392816e,"[1679190.0, 651060.0, 327150.0, 927090.0, 134250.0, 1442730.0]"
3321FBL,0f8f5823-99dc-4511-9951-c9f6b4c8696e,"[2146890.0, 1378560.0, 119040.0, 157620.0, 323160.0, 827490.0, 205380.0, 241350.0, 343050.0, 703860.0]"
3321FBL,173ebd26-a1a9-4798-a4a0-f2b5f763dcae,"[985020.0, 827520.0, 373410.0, 1067370.0, 861960.0, 730650.0, 705240.0, 575280.0]"
3321FBL,1a73cac3-f12d-4e06-a215-c69c2a6ea856,"[684630.0, 1052520.0, 1453230.0, 1726170.0, 641790.0, 226110.0, 330150.0, 331680.0, 308520.0, 364950.0]"
3321FBL,2291b8d8-db1c-4320-812f-2a5c06a5291b,"[1017870.0, 222750.0, 261810.0, 516330.0, 523530.0, 450750.0, 121110.0, 566940.0, 247560.0, 355020.0, 161850.0]"
3321FBL,27f24f6d-599b-4857-9213-0b2170055034,"[572430.0, 443490.0, 426120.0, 1639320.0, 1678920.0, 645090.0, 680790.0, 380910.0, 424080.0, 500250.0]"
3321FBL,2f956e3a-25df-4c5e-bb50-92d92dc9ba00,"[193500.0, 627780.0, 1315710.0, 206190.0, 300000.0, 784800.0, 69120.0, 1459710.0, 1992930.0]"
3321FBL,333c2024-654c-4b7c-8609-fe8412c20b2c,"[3521520.0, 3575070.0]"
3321FBL,35639c90-2e65-4da6-abb4-9f23ff5e94f0,"[744420.0, 847560.0, 431250.0, 840420.0, 279750.0, 1689930.0, 892380.0, 421620.0, 861720.0]"
3321FBL,3639f918-671b-4d85-a9d9-a4740ab1d1a0,"[1830360.0, 599220.0, 949080.0, 1254690.0]"
3321FBL,381d92f4-7695-46c2-aff1-49c5abb0723b,"[2667060.0, 2195130.0, 951960.0, 843720.0]"
3321FBL,3d1c2abc-0431-454a-8f4a-68b4164fdbef,"[1041480.0, 464610.0, 2141760.0, 1991460.0, 813690.0, 638850.0, 256980.0, 438480.0]"
3321FBL,40dbae54-8760-404f-a434-2c4bed57c907,"[1026720.0, 327810.0, 1577430.0, 938280.0, 247980.0, 173280.0, 845820.0, 1458090.0, 1161390.0, 1840170.0]"
3321FBL,435ce988-c95d-47ec-a176-4b9a2967d059,"[975450.0, 959520.0, 1698630.0, 895590.0, 831630.0, 322050.0, 830820.0]"
3321FBL,45c9a42a-7cb5-4266-b0aa-a05b3f446390,"[311880.0, 466620.0, 543090.0, 402870.0, 1908840.0, 1729770.0, 1508100.0]"
3321FBL,48959867-c32b-4c58-8806-f0e50fd68a93,"[901650.0, 1042230.0, 229920.0, 2737110.0, 917160.0, 1229100.0, 396060.0, 273990.0, 551790.0, 244320.0, 584790.0]"
3321FBL,4a5ab221-44c2-4c15-beff-aca1fc357c3a,"[1206150.0, 827100.0, 1126530.0, 1114590.0, 435720.0]"
3321FBL,50951384-0816-4303-afbb-49a9582ab1d4,"[1261590.0, 592920.0, 1674930.0, 491850.0, 519450.0, 534450.0, 819150.0]"
3321FBL,54cfa245-a633-4505-86a5-e47ef018fb8c,"[3199440.0, 3110430.0]"
3321FBL,5a1f0e34-a19a-43ef-812c-050da6ac6d27,"[2123460.0, 1526610.0, 754830.0, 632730.0, 1113930.0, 1253790.0, 589920.0, 409380.0, 301920.0, 264990.0, 624990.0]"
3321FBL,5bd040a5-cf27-4ffd-af6a-4afa44a7eecc,"[813810.0, 582060.0, 1217340.0, 78480.0, 1015380.0, 1224420.0]"
